Data,Hora,Produto,Preco
2026-09-26,08:00:36,Teclado-Motorola-FXT702,605.89
2026-06-09,22:47:15,Camera-Amazon-KXP509,298.45
2026-10-24,20:13:36,Smartwatch-Acer-KYO387,166.69
2026-04-28,03:24:35,Camera-Apple-YJC216,397.27
2026-05-28,08:17:20,Rato-AMD-ZRQ267,67.87
2026-08-10,06:21:00,Tablet-Corsair-DIY478,122.77
2026-09-25,03:08:42,Coluna-HP-XKG734,100.81
2026-08-20,09:59:21,CaboUSB-Apple-NPI516,342.37
2026-11-27,10:56:20,Drone-Nvidia-LOA163,1.99
2026-12-08,22:03:24,Microfone-Samsung-DLX611,847.45
2026-02-02,11:11:42,Tablet-Asus-FHV948,1.99
2026-06-06,19:14:47,Teclado-Apple-YNX372,155.71
2026-09-03,20:27:28,Smartphone-Asus-GOC645,199.63
2026-07-03,19:52:27,MemoriaRAM-LG-WAO071,144.73
2026-03-14,19:19:46,DiscoSSD-Microsoft-ADY315,34.93
2026-01-01,11:02:01,Drone-Gigabyte-OSO251,342.37
2026-08-09,14:30:06,Headphones-Microsoft-CJW473,397.27
2026-02-08,10:29:30,Drone-Intel-JVN908,507.07
2026-02-06,16:40:36,Projetor-Amazon-YSI541,298.45
2026-03-25,18:40:53,Gamepad-Dell-KEM492,45.91
2026-03-16,08:21:51,Rato-Xiaomi-FGY022,276.49
2026-10-17,02:37:18,Microfone-LG-LTQ483,45.91
2026-03-23,03:31:48,DiscoSSD-Lenovo-JBF112,419.23
2026-10-08,04:47:20,TV-Intel-YUC011,45.91
2026-11-17,09:50:36,MemoriaRAM-Razer-MVF388,12.97
2026-06-11,20:54:00,Microfone-Corsair-CED460,122.77
2026-12-25,00:31:08,Headphones-Xiaomi-QAU892,1.99
2026-07-08,22:00:48,Tablet-Xiaomi-BCN524,605.89
2026-05-24,21:34:25,DiscoSSD-Sony-MKL623,605.89
2026-04-22,17:18:34,CaboUSB-Nokia-TRI539,847.45
2026-04-22,07:58:12,Tablet-Lenovo-VCR906,320.41
2026-02-10,02:03:02,PlacaGrafica-Dell-LRG266,100.81
2026-06-19,16:36:00,Microfone-AMD-ZSI332,320.41
2026-08-10,08:45:04,Camera-Nvidia-SXD130,67.87
2026-09-23,04:38:24,CaboUSB-AMD-DCI672,12.97
2026-06-28,12:23:48,Camera-AMD-NHO784,221.59
2026-03-16,20:24:00,Monitor-Dell-UOK436,221.59
2026-03-12,08:41:10,Teclado-HP-CHM308,693.73
2026-10-16,10:54:49,DiscoSSD-Amazon-UPS693,100.81
2026-01-16,03:47:03,Monitor-Nokia-GCR626,309.43
2026-10-12,07:13:35,DiscoSSD-MSI-LAV916,309.43
2026-06-27,15:50:24,Tablet-Amazon-VLQ002,594.91
2026-11-26,12:13:30,Impressora-Nokia-UUW915,45.91
2026-10-01,23:30:50,Smartphone-Amazon-FZE204,67.87
2026-11-17,11:18:09,Microfone-Razer-UZI557,45.91
2026-02-26,17:42:30,DiscoSSD-Xiaomi-GIB056,254.53
2026-04-06,16:56:00,Motherboard-Alienware-VYU445,122.77
2026-05-24,05:57:55,Coluna-Google-PTE223,232.57
2026-01-28,16:16:00,Smartphone-Motorola-WZZ239,166.69
2026-04-04,16:16:14,Coluna-Sony-AGL008,276.49
2026-09-13,04:58:47,TV-Asus-LYX188,78.85
2026-04-06,10:16:48,Laptop-Nokia-ORH036,122.77
2026-07-15,02:25:03,Laptop-Google-LWS810,243.55
2026-10-21,17:52:48,Router-Amazon-PVB627,902.35
2026-08-13,08:53:25,Laptop-Nvidia-LKE233,23.95
2026-09-28,15:40:14,Carregador-Alienware-HMP075,583.93
2026-07-02,18:18:52,TV-Alienware-HOM992,67.87
2026-02-23,08:09:20,PlacaGrafica-Asus-EJR075,89.83
2026-12-19,15:34:15,Smartphone-Acer-ZDQ835,89.83
2026-08-20,02:18:24,Drone-Nokia-XYG021,902.35
2026-09-27,06:24:50,Processador-Lenovo-QPN608,122.77
2026-03-01,03:01:30,Headphones-Nvidia-XIT385,45.91
2026-05-03,22:12:00,CaboUSB-Samsung-EUP909,353.35
2026-01-09,08:50:24,Coluna-Microsoft-YGH982,177.67
2026-10-03,09:26:40,TV-Huawei-XLK362,331.39
2026-05-17,09:34:15,Camera-Lenovo-BVZ282,671.77
2026-08-15,10:25:44,Projetor-Samsung-CUA340,375.31
2026-02-03,10:58:06,Headphones-Apple-KQA388,1.99
2026-02-14,09:37:29,TV-Razer-BBD166,144.73
2026-11-26,12:48:58,PlacaGrafica-Sony-IIE862,166.69
2026-09-26,19:11:23,Impressora-Samsung-CTI463,232.57
2026-09-09,18:43:54,Motherboard-Sony-VNZ089,1.99
2026-08-01,06:40:18,Microfone-Intel-BDL359,276.49
2026-07-07,22:42:45,Router-Xiaomi-MFD087,155.71
2026-07-26,21:55:02,Rato-LG-NBP319,540.01
2026-05-16,13:33:45,Laptop-Sony-KJS120,100.81
