Data,Hora,Produto,Preco
2026-03-24,12:52:54,Impressora-Intel-ATJ496,298.45
2026-02-20,10:58:48,CaboUSB-Samsung-CTJ536,594.91
2026-07-06,12:18:25,CaboUSB-Google-IWU230,265.51
2026-10-26,10:50:21,MemoriaRAM-Samsung-HLP096,177.67
2026-09-10,01:06:50,Smartwatch-Corsair-KMT987,12.97
2026-12-24,18:52:12,Headphones-AMD-SRQ086,155.71
2026-08-13,16:03:32,Carregador-Dell-XLW404,45.91
2026-05-22,12:32:24,Router-Alienware-KRZ892,781.57
2026-08-13,08:46:52,CaboUSB-Samsung-MUP555,331.39
2026-10-24,14:29:55,Carregador-Samsung-YXO316,100.81
2026-12-27,19:42:00,Drone-Sony-IEO997,1.99
2026-03-15,11:59:15,Drone-MSI-HCT903,111.79
2026-05-27,00:52:35,Carregador-Samsung-OHC370,496.09
2026-05-06,21:46:20,Coluna-Logitech-XZD457,12.97
2026-01-11,22:06:28,Gamepad-Razer-UWT253,56.89
2026-06-22,03:50:34,Tablet-Intel-EQM726,243.55
2026-01-14,04:44:55,Projetor-Microsoft-OVD876,474.13
2026-10-22,23:27:09,Laptop-Microsoft-ZRN293,56.89
2026-06-03,04:56:02,DiscoSSD-Motorola-TWF728,474.13
2026-01-13,05:28:00,Projetor-Acer-SOM988,177.67
2026-04-28,14:49:48,CaboUSB-Xiaomi-OZN868,155.71
2026-04-26,19:08:00,Carregador-Amazon-YNW040,12.97
2026-05-11,04:23:12,Headphones-Sony-JXB039,583.93
2026-08-22,09:45:40,DiscoSSD-AMD-DXL849,232.57
2026-03-10,16:14:52,CaboUSB-Logitech-JGR180,309.43
2026-10-05,00:48:26,TV-Gigabyte-HPO160,572.95
2026-09-14,06:21:18,TV-LG-CUD591,671.77
2026-01-03,12:05:48,Router-AMD-EOA809,100.81
2026-08-23,18:54:50,CaboUSB-Samsung-VGU463,12.97
2026-02-12,23:45:00,TV-Acer-ZWC477,210.61
2026-05-15,16:31:40,Rato-Acer-CIE224,550.99
2026-03-25,03:23:28,Laptop-Corsair-YRO716,144.73
2026-10-04,17:21:40,Camera-Acer-BWY708,748.63
2026-03-07,20:22:00,Microfone-Huawei-HYB002,111.79
2026-06-15,04:38:45,Coluna-Samsung-GGR802,331.39
2026-05-23,02:34:42,Laptop-Motorola-TGZ220,210.61
2026-11-07,18:44:00,Tablet-MSI-NDG888,1.99
2026-03-10,03:57:18,Smartwatch-Dell-OIW049,287.47
2026-06-15,08:46:00,Monitor-Apple-EIT029,693.73
2026-10-07,13:08:24,Impressora-Razer-APA523,287.47
2026-04-01,00:41:45,Tablet-Lenovo-AVW686,419.23
2026-04-09,20:03:25,Router-Huawei-FCH245,265.51
2026-10-04,05:15:30,CaboUSB-Sony-XGO658,419.23
2026-03-06,17:58:34,Motherboard-Google-ZVR336,221.59
2026-02-23,22:53:51,Impressora-Samsung-ITQ501,507.07
2026-03-04,23:51:04,Router-Samsung-FWB959,221.59
2026-06-11,10:52:36,Gamepad-Gigabyte-QFC250,309.43
2026-06-24,12:48:56,Tablet-Apple-THQ419,1.99
2026-04-26,06:11:30,Motherboard-MSI-KYP285,34.93
2026-05-13,14:53:36,Processador-Corsair-OLH805,78.85
2026-06-18,20:44:56,Projetor-Nvidia-STS483,177.67
2026-09-26,09:03:39,CaboUSB-Logitech-WXM837,210.61
2026-04-19,14:41:29,TV-Sony-KZA211,23.95
2026-11-15,23:19:30,Rato-Nvidia-QXS474,177.67
2026-11-22,23:19:24,Processador-Amazon-ZXD258,419.23
2026-07-09,03:54:40,Laptop-HP-TOI541,583.93
2026-11-27,06:41:03,Gamepad-Amazon-YPB682,155.71
2026-12-17,08:57:48,PlacaGrafica-Logitech-OZD320,12.97
