Data,Hora,Produto,Preco
2026-09-04,22:38:24,Smartphone-Motorola-DXW223,67.87
2026-05-02,21:39:15,TV-Nokia-BVF414,572.95
2026-11-11,02:20:00,Drone-LG-QOO026,221.59
2026-03-05,22:05:48,Laptop-Apple-HMF673,616.87
2026-05-19,01:55:00,Microfone-Intel-JOT038,100.81
2026-11-15,01:54:30,Teclado-Gigabyte-PFG365,100.81
2026-02-19,10:56:45,Microfone-Gigabyte-GGZ848,67.87
2026-04-02,22:49:12,Tablet-Alienware-GJW751,616.87
2026-12-16,21:04:00,Smartphone-Nvidia-BGF483,45.91
2026-09-16,12:01:08,Teclado-Logitech-RLD682,331.39
2026-11-11,08:50:15,Router-Acer-HFN974,45.91
2026-10-05,02:38:30,Monitor-Nokia-DLC865,1.99
2026-12-13,15:27:00,MemoriaRAM-AMD-XPP388,375.31
2026-04-15,21:29:24,Monitor-Sony-UDK458,803.53
2026-04-22,19:05:24,Impressora-Nvidia-YSI773,649.81
2026-05-23,16:55:39,Gamepad-Corsair-WZZ392,419.23
2026-04-16,03:35:28,Motherboard-Alienware-CZQ947,199.63
2026-05-27,06:35:06,TV-Gigabyte-QNW432,583.93
2026-09-02,17:53:20,CaboUSB-Alienware-DQC419,924.31
2026-08-13,14:10:57,Consola-Logitech-XFA470,23.95
2026-11-07,11:07:37,Monitor-Nvidia-KII902,111.79
2026-12-28,08:50:10,Laptop-Logitech-EXI109,210.61
2026-07-05,23:17:42,DiscoSSD-Google-YUN743,561.97
2026-03-26,16:03:36,Consola-Asus-JPS034,693.73
2026-03-20,08:54:00,TV-Acer-XVC066,287.47
2026-07-19,15:37:48,Consola-HP-IMF367,23.95
2026-02-18,17:51:42,DiscoSSD-Nokia-CTF509,1.99
2026-08-05,19:32:00,Gamepad-Alienware-PRX436,364.33
2026-10-09,06:54:08,MemoriaRAM-Microsoft-GMU432,474.13
2026-05-18,01:29:45,Gamepad-Amazon-RED266,232.57
2026-03-24,21:56:15,PlacaGrafica-HP-AHI841,1.99
2026-06-20,23:24:45,Tablet-Google-CSL467,627.85
2026-10-14,17:25:12,Microfone-Xiaomi-ANY076,265.51
2026-07-18,16:12:53,CaboUSB-Huawei-HCU270,243.55
2026-04-17,17:22:00,Laptop-Lenovo-MDX430,496.09
2026-05-27,17:19:54,Laptop-Amazon-PXR283,638.83
2026-07-19,21:36:35,Carregador-Huawei-WQD808,155.71
2026-09-05,02:14:13,PlacaGrafica-Sony-JDS833,67.87
2026-03-25,02:43:12,Rato-Apple-XOZ879,474.13
2026-11-22,05:06:40,Microfone-Google-BFU518,89.83
2026-04-02,03:29:50,CaboUSB-Lenovo-EHM523,23.95
