Data,Hora,Produto,Preco
2026-04-20,01:34:03,TV-Sony-CFV138,463.15
2026-08-17,20:30:34,TV-Gigabyte-BRI305,188.65
2026-04-13,15:45:18,Projetor-LG-ANL423,111.79
2026-10-06,00:37:05,Monitor-Nvidia-DSM321,540.01
2026-08-17,21:30:44,MemoriaRAM-Alienware-NWP956,188.65
2026-10-23,16:24:32,Tablet-Google-QHE460,638.83
2026-01-23,08:55:44,Impressora-LG-JSP072,56.89
2026-10-20,12:03:00,Router-Google-VFJ461,485.11
2026-11-13,00:17:42,Coluna-Google-HEY323,78.85
2026-01-08,07:58:46,Microfone-Sony-KER552,419.23
2026-09-03,09:55:51,Router-Xiaomi-KNY197,78.85
2026-04-08,20:09:30,PlacaGrafica-Amazon-DJE930,12.97
2026-07-16,19:49:11,MemoriaRAM-Nvidia-ELX958,23.95
2026-05-01,04:02:51,Tablet-Razer-WST100,56.89
2026-05-28,11:09:20,Smartwatch-LG-YSS981,309.43
2026-01-20,22:36:56,Router-LG-TAV282,111.79
2026-04-25,10:14:57,Coluna-Nvidia-XJZ738,1.99
2026-04-23,05:57:48,Gamepad-Nokia-JSV048,45.91
2026-07-16,13:27:53,Smartwatch-Apple-FDF228,770.59
2026-04-09,23:05:45,CaboUSB-Alienware-NSB754,188.65
2026-11-23,22:51:24,Smartphone-Acer-AGY052,34.93
2026-12-27,05:34:53,Headphones-Lenovo-JDI446,913.33
2026-10-28,10:24:24,Microfone-Xiaomi-KJG161,89.83
2026-10-24,19:03:07,Processador-Gigabyte-GZK862,56.89
2026-08-21,17:59:24,Coluna-LG-JJW953,67.87
2026-05-18,23:20:26,Consola-Corsair-PYQ141,100.81
2026-01-01,22:14:24,Processador-Google-LOL937,155.71
2026-12-08,11:25:03,Tablet-MSI-NIO064,463.15
2026-10-09,12:42:27,Impressora-Amazon-ICR776,67.87
2026-08-10,20:29:00,Carregador-Huawei-RPP104,298.45
2026-07-16,18:27:06,Projetor-Google-IGI976,408.25
2026-01-01,06:50:36,Rato-HP-UNX895,287.47
2026-08-11,14:08:48,DiscoSSD-Dell-TGQ847,463.15
2026-08-05,16:37:00,Consola-Motorola-FBR798,89.83
2026-05-27,08:16:00,Microfone-Corsair-XEV983,1.99
2026-06-25,05:02:06,Processador-Sony-UKN476,561.97
2026-01-21,13:26:54,Rato-Google-RUQ857,331.39
2026-04-01,09:24:20,Router-Alienware-XSV283,594.91
2026-06-05,13:42:30,MemoriaRAM-Xiaomi-XHJ533,594.91
2026-04-01,07:02:42,PlacaGrafica-Amazon-DXS794,243.55
2026-05-16,14:55:16,Smartwatch-Apple-BVJ484,430.21
2026-08-16,22:06:26,Camera-Asus-IEK386,254.53
2026-11-09,15:10:36,Camera-Logitech-DTZ692,12.97
2026-03-06,14:25:30,Motherboard-Huawei-EUB999,419.23
2026-08-18,03:15:00,Coluna-Logitech-GGN275,452.17
2026-12-15,08:43:44,Drone-Razer-OCF076,814.51
2026-06-28,01:57:07,Impressora-HP-VJZ019,89.83
2026-01-01,12:16:08,Smartwatch-Gigabyte-IQQ606,12.97
2026-09-11,03:18:00,Coluna-Asus-BGG170,419.23
2026-12-01,06:31:14,PlacaGrafica-LG-WGP348,23.95
2026-08-13,02:09:24,Teclado-Apple-SQN663,1.99
