Data,Hora,Produto,Preco
2026-03-10,01:39:24,Smartwatch-Amazon-RUU643,748.63
2026-11-23,08:25:40,Coluna-Xiaomi-BLB726,210.61
2026-06-24,20:17:34,CaboUSB-Razer-HYQ809,1.99
2026-02-27,15:54:24,Router-Google-LYY996,23.95
2026-05-14,05:12:00,Impressora-Motorola-BVO617,671.77
2026-04-29,03:33:27,Motherboard-Asus-AOY883,23.95
2026-05-23,12:43:53,Drone-Acer-KON611,232.57
2026-10-12,17:39:12,Coluna-Acer-FXX445,583.93
2026-07-26,21:01:26,Smartwatch-Intel-IYC413,12.97
2026-10-01,13:46:30,TV-Lenovo-JZG891,342.37
2026-01-27,09:00:00,Monitor-Microsoft-MSU037,320.41
2026-09-19,19:08:45,Consola-Samsung-DRN348,188.65
2026-10-21,03:05:52,Projetor-Xiaomi-JTX427,78.85
2026-07-28,09:27:53,Headphones-Apple-GMT367,12.97
2026-04-19,03:54:00,PlacaGrafica-Corsair-TXS650,12.97
2026-09-23,23:49:56,Tablet-MSI-JZL969,298.45
2026-06-03,23:15:44,CaboUSB-Sony-JFL895,34.93
2026-05-24,02:52:10,DiscoSSD-Gigabyte-TGG938,34.93
2026-10-04,04:42:00,Smartphone-Dell-KDQ613,89.83
2026-03-19,00:32:20,DiscoSSD-Sony-INJ738,155.71
2026-03-09,23:09:04,Smartwatch-Alienware-YZM578,56.89
2026-10-06,18:51:45,DiscoSSD-Alienware-RDR445,1001.17
2026-09-21,08:20:42,PlacaGrafica-MSI-ELP664,287.47
2026-10-16,03:10:28,MemoriaRAM-Huawei-DHT314,408.25
2026-05-02,13:00:00,Laptop-AMD-DGE225,100.81
2026-08-01,06:26:47,Smartphone-Google-HBE806,375.31
2026-02-03,05:44:15,Drone-Huawei-AVF721,463.15
2026-04-13,07:01:00,Projetor-Nokia-YIL016,430.21
2026-05-21,12:00:00,MemoriaRAM-Xiaomi-TPV755,45.91
2026-01-11,08:12:34,Gamepad-MSI-NFV027,375.31
2026-12-09,19:12:00,PlacaGrafica-Xiaomi-COR767,550.99
2026-03-18,05:51:40,Microfone-HP-QJQ662,56.89
2026-04-12,20:49:12,Gamepad-Dell-EAT534,23.95
2026-04-07,16:50:24,Tablet-MSI-BOY223,386.29
2026-09-27,03:41:06,Microfone-Sony-BFH852,704.71
2026-08-19,08:37:12,DiscoSSD-Xiaomi-RPV290,45.91
2026-04-23,07:39:08,Router-Nokia-DQV959,144.73
2026-08-25,13:42:24,Impressora-Intel-GMZ219,155.71
2026-10-08,20:57:51,TV-Apple-KHK632,45.91
2026-03-15,16:37:14,Processador-Amazon-KDR029,122.77
2026-11-09,15:17:28,Camera-Acer-OUJ121,660.79
2026-03-15,02:18:40,Consola-Alienware-IJW194,847.45
2026-02-13,01:45:54,Carregador-Gigabyte-SQZ322,342.37
2026-02-14,15:30:28,Microfone-Logitech-CQW944,232.57
2026-06-22,20:52:20,Camera-Dell-VIO486,155.71
2026-10-13,17:21:15,Projetor-Sony-KSD768,1.99
2026-06-25,02:19:46,Tablet-Gigabyte-ISR833,144.73
2026-12-05,09:56:06,MemoriaRAM-Google-RFE274,770.59
2026-05-01,02:57:14,TV-Gigabyte-LII387,748.63
2026-03-03,04:17:22,Consola-Dell-RXJ712,441.19
2026-11-06,16:21:20,Processador-Intel-MSI635,111.79
2026-03-03,21:22:55,Monitor-Acer-GFF389,550.99
2026-09-27,21:04:51,Carregador-Nokia-ZUS127,430.21
2026-04-16,14:24:48,Router-Corsair-ODX082,199.63
2026-10-20,01:28:45,Router-MSI-HOV030,122.77
2026-02-17,20:19:50,CaboUSB-Logitech-IPJ857,34.93
2026-02-02,08:00:24,MemoriaRAM-Samsung-MWD470,759.61
2026-03-10,13:19:20,Projetor-Sony-GNQ312,254.53
2026-05-16,13:10:23,TV-Dell-OOH189,572.95
2026-11-26,22:42:27,Drone-Asus-OUF897,243.55
2026-05-29,12:36:48,Processador-Samsung-ECN060,78.85
2026-07-19,21:44:22,PlacaGrafica-Motorola-IFT995,408.25
2026-05-28,20:41:30,Camera-AMD-IML888,1.99
2026-02-10,20:20:35,Monitor-Intel-JAZ355,89.83
2026-07-18,23:22:12,Headphones-Gigabyte-IMX835,243.55
2026-06-25,05:28:52,Impressora-MSI-TWJ222,1.99
2026-05-07,03:29:06,DiscoSSD-Intel-IPF568,408.25
2026-05-16,07:50:25,CaboUSB-Nokia-DKF933,243.55
2026-11-06,11:22:12,DiscoSSD-Motorola-SAN991,12.97
2026-03-22,18:31:04,Laptop-Sony-PCT991,397.27
2026-04-18,14:42:55,MemoriaRAM-MSI-SAD224,1.99
2026-06-30,23:20:40,Gamepad-Microsoft-GTP917,12.97
2026-01-13,13:40:12,Consola-MSI-WSB673,627.85
2026-04-08,05:30:46,CaboUSB-Motorola-BLG177,56.89
2026-09-02,12:07:55,Laptop-Google-TDR261,100.81
2026-01-26,16:14:33,Gamepad-Gigabyte-FHE371,12.97
2026-07-07,16:59:00,Laptop-HP-JSL832,100.81
2026-05-01,14:41:48,DiscoSSD-Gigabyte-IOY922,34.93
2026-08-21,14:33:30,Camera-Intel-KVD321,133.75
2026-02-26,18:54:29,Headphones-Nokia-RZT381,704.71
2026-12-13,14:03:30,Microfone-Apple-ESQ333,540.01
2026-03-21,22:04:54,Tablet-Razer-DJK418,210.61
2026-04-24,16:27:00,Coluna-Razer-EJS138,342.37
2026-05-05,23:59:56,Monitor-Samsung-VWL743,56.89
2026-05-23,02:16:00,Carregador-Nokia-IHI368,430.21
2026-12-23,02:19:00,Microfone-Sony-MXE642,529.03
2026-03-12,04:52:27,Coluna-Nokia-VLB357,265.51
2026-05-07,19:54:27,Camera-Microsoft-RGP198,67.87
2026-11-20,16:24:24,PlacaGrafica-LG-OWI033,67.87
2026-11-22,01:43:30,Smartwatch-Samsung-ROW610,496.09
