Data,Hora,Produto,Preco
2026-08-05,16:26:44,Consola-Lenovo-BBZ993,1.99
2026-02-12,23:25:55,Headphones-Corsair-GLQ123,408.25
2026-08-04,06:54:24,Microfone-Lenovo-HAM477,737.65
2026-11-05,22:03:45,CaboUSB-Dell-MJM326,287.47
2026-11-07,18:34:08,Coluna-Razer-WKB264,594.91
2026-12-20,03:04:48,Impressora-Huawei-ZXG668,386.29
2026-07-01,16:00:00,Router-Razer-ODX429,583.93
2026-06-04,17:37:12,Camera-Huawei-WPY336,100.81
2026-02-23,11:21:54,Drone-Gigabyte-MCY169,331.39
2026-06-08,13:11:46,Teclado-Acer-WBH122,23.95
2026-09-10,02:36:00,Motherboard-Acer-BAC688,1023.13
2026-07-06,22:18:46,Gamepad-Sony-DXH542,56.89
2026-07-11,20:34:35,MemoriaRAM-Amazon-HSR365,430.21
2026-10-03,13:23:36,Rato-Google-WDO683,144.73
2026-02-01,18:48:48,PlacaGrafica-Sony-PZQ841,353.35
2026-08-20,06:59:44,Coluna-Motorola-SOJ717,342.37
2026-01-05,21:03:40,Router-Asus-UFQ133,298.45
2026-12-21,00:00:48,DiscoSSD-Asus-EIY532,56.89
2026-06-25,02:46:21,Monitor-Huawei-VJQ462,430.21
2026-07-18,02:27:21,Microfone-LG-XIO201,616.87
2026-11-23,16:31:12,Gamepad-Samsung-ULA565,232.57
2026-08-01,20:04:33,Router-Dell-KBP622,56.89
2026-05-13,06:46:25,Coluna-Google-QOZ454,298.45
2026-01-18,15:42:05,Drone-Logitech-NQK372,243.55
2026-03-24,17:12:40,Impressora-Gigabyte-NNZ847,1.99
2026-05-16,17:55:25,Gamepad-AMD-IXO094,1.99
2026-06-06,17:54:18,CaboUSB-Samsung-PUD949,34.93
2026-04-03,08:32:00,Router-Dell-NHW860,583.93
2026-06-01,10:22:44,Rato-Sony-WDR696,353.35
2026-06-06,19:03:12,Smartphone-Samsung-OCM310,518.05
2026-01-02,10:22:54,Camera-Asus-HJR110,397.27
2026-11-05,01:48:24,Smartphone-Microsoft-CSD189,100.81
2026-08-09,03:08:00,MemoriaRAM-AMD-RIL157,627.85
2026-06-13,10:50:05,Smartwatch-Apple-JMF822,441.19
2026-06-15,02:33:40,Drone-Nokia-MZW845,397.27
2026-05-13,16:47:45,Teclado-Nvidia-SPI776,561.97
2026-06-06,20:57:48,Teclado-Lenovo-PLD118,320.41
2026-10-18,05:15:32,Rato-Huawei-TGD660,78.85
2026-04-20,23:47:43,Motherboard-Alienware-CAA564,133.75
2026-03-04,17:32:40,Coluna-Amazon-WCI530,485.11
2026-07-22,00:16:03,Gamepad-Google-YAI916,726.67
2026-04-10,00:38:40,Gamepad-Samsung-IBX698,56.89
2026-10-22,22:14:00,Teclado-Motorola-HET350,23.95
2026-07-11,20:34:42,Smartwatch-LG-IUR328,177.67
2026-01-15,18:52:56,Tablet-Motorola-SUA876,430.21
2026-08-15,16:54:24,Impressora-Motorola-FTR399,616.87
2026-06-09,13:04:18,Smartwatch-Acer-HQU782,111.79
2026-09-22,23:49:21,Coluna-HP-YUF353,232.57
2026-02-20,06:47:45,Teclado-Gigabyte-GAQ501,550.99
2026-03-21,12:48:40,Drone-Huawei-KHH579,89.83
2026-08-14,15:03:30,Drone-Xiaomi-ZQJ901,122.77
2026-05-28,08:46:14,Coluna-Nvidia-JCM584,45.91
2026-08-03,12:51:14,Gamepad-Nvidia-JKM284,232.57
2026-03-25,00:29:12,Consola-Corsair-PBY448,177.67
2026-04-11,17:36:08,Processador-Motorola-LGU899,67.87
2026-04-28,13:51:44,Monitor-Logitech-QUH669,441.19
2026-10-16,13:22:58,MemoriaRAM-AMD-STK383,518.05
2026-05-17,20:34:32,Camera-Xiaomi-GNF335,605.89
2026-09-03,08:54:10,CaboUSB-Corsair-UDW785,254.53
2026-01-12,18:33:48,Impressora-Gigabyte-PJL300,67.87
2026-01-26,22:32:11,TV-Huawei-XFM084,616.87
2026-01-09,20:16:48,Camera-Asus-JOY392,34.93
2026-03-23,15:35:36,Router-Apple-VCM268,342.37
2026-01-04,16:48:50,PlacaGrafica-Acer-FRI094,1045.09
2026-06-06,19:40:48,CaboUSB-Intel-YBI359,1.99
2026-09-25,22:09:24,Microfone-Nokia-NYX392,89.83
2026-05-25,03:10:44,Teclado-MSI-LXI655,485.11
2026-05-16,08:32:30,Headphones-LG-FIW611,89.83
2026-04-27,11:37:16,Carregador-Razer-ZET338,67.87
2026-04-16,18:42:24,Microfone-AMD-QND315,78.85
2026-12-09,13:48:10,Smartphone-MSI-TMM612,331.39
2026-02-05,19:33:18,Consola-LG-NNN292,177.67
2026-07-05,19:52:00,Headphones-Microsoft-XAJ388,1.99
2026-07-18,16:46:06,CaboUSB-MSI-YJW744,23.95
2026-04-09,00:02:54,Coluna-Motorola-BAD548,67.87
2026-07-18,08:50:04,Headphones-Gigabyte-DUK064,89.83
2026-04-26,16:43:36,MemoriaRAM-Gigabyte-AZZ875,45.91
2026-01-24,16:48:35,Impressora-HP-VMZ755,111.79
2026-07-13,03:22:35,Projetor-LG-KQB669,254.53
2026-01-03,20:02:28,Camera-Razer-YXS318,232.57
2026-01-27,13:08:48,Smartwatch-Huawei-NQV694,133.75
2026-10-09,02:05:24,Carregador-Corsair-YLY705,353.35
2026-11-18,18:35:12,Drone-Dell-FMJ044,320.41
2026-02-11,12:48:10,Camera-Logitech-CWX871,572.95
2026-04-13,11:35:48,Drone-MSI-OVX256,1.99
2026-01-04,21:45:49,Laptop-Intel-HLF725,89.83
2026-11-12,09:22:40,Gamepad-Samsung-MLL896,133.75
2026-01-20,05:00:18,Laptop-Intel-GTQ512,100.81
2026-04-03,01:18:00,Consola-MSI-VKH999,561.97
2026-10-19,09:53:34,TV-Gigabyte-JRW399,1.99
2026-06-25,14:06:16,Laptop-HP-YPB153,100.81
2026-01-12,04:55:20,Microfone-Gigabyte-LBB020,441.19
2026-10-11,16:59:10,MemoriaRAM-Microsoft-VQL348,67.87
2026-02-01,16:41:34,Motherboard-Asus-UBC881,12.97
2026-10-03,03:35:00,Router-Nokia-RCU579,627.85
2026-03-26,07:21:20,Router-Logitech-CDN775,243.55
2026-10-12,10:55:16,Smartphone-Alienware-EPC310,89.83
2026-03-16,01:17:20,PlacaGrafica-Motorola-VOU647,309.43
2026-08-04,19:47:55,Coluna-Motorola-TCO407,210.61
2026-03-30,03:23:00,Drone-Sony-UEB583,792.55
2026-02-22,13:45:37,DiscoSSD-Google-OJM273,1.99
2026-11-28,14:33:20,Carregador-Apple-MIA829,342.37
2026-12-22,18:05:20,CaboUSB-Motorola-GKY345,78.85
2026-03-22,23:49:12,Monitor-Xiaomi-IRO681,12.97
2026-03-04,22:30:00,Processador-Samsung-PTH149,759.61
2026-02-05,12:33:15,Smartwatch-Samsung-GEN843,122.77
2026-01-10,03:29:00,Gamepad-Google-RQQ221,616.87
2026-02-07,18:40:09,Tablet-MSI-TIO638,287.47
2026-07-05,07:51:42,Coluna-Huawei-QXU485,45.91
2026-04-25,09:30:58,Impressora-Microsoft-NHW506,1.99
2026-11-17,20:48:00,Projetor-Apple-ZAF255,133.75
2026-03-11,03:32:48,Consola-Amazon-BJW059,386.29
2026-01-06,13:13:20,Motherboard-Lenovo-RFU614,276.49
2026-03-08,17:26:18,Teclado-Huawei-CCK668,463.15
2026-12-15,04:08:00,Smartwatch-Xiaomi-HZD092,671.77
2026-07-12,17:42:15,Consola-Razer-LEZ880,397.27
2026-04-25,12:50:27,Motherboard-Lenovo-HOP257,342.37
2026-02-08,21:50:42,Teclado-Amazon-WYX601,781.57
2026-02-26,23:38:13,Headphones-Motorola-EZS684,232.57
2026-11-14,12:03:02,Camera-Nvidia-PNJ904,45.91
2026-11-06,00:41:51,Teclado-LG-LPC475,638.83
2026-05-13,23:40:45,Camera-Alienware-ROZ193,56.89
2026-10-11,17:22:24,Consola-Microsoft-OEX444,12.97
2026-07-23,02:39:14,CaboUSB-Nokia-DPG127,67.87
2026-06-11,10:36:00,Teclado-Motorola-QIH266,166.69
2026-02-20,21:15:08,Monitor-Logitech-OVZ543,792.55
2026-11-08,20:55:00,Drone-Corsair-OPS059,12.97
2026-04-03,18:41:15,Drone-Razer-TBO858,56.89
2026-04-04,06:38:24,Camera-Xiaomi-NGV482,12.97
2026-09-19,05:59:30,Coluna-Microsoft-WPO083,287.47
2026-01-19,00:06:00,Drone-Corsair-YMS815,1.99
2026-03-07,04:22:00,Router-Huawei-MMT908,375.31
2026-02-09,23:09:24,Rato-Corsair-VRE364,67.87
2026-11-12,10:40:48,Teclado-Xiaomi-WHG721,56.89
2026-02-03,07:56:00,Tablet-Logitech-PHM889,496.09
2026-09-06,19:54:30,DiscoSSD-Intel-CIX941,572.95
2026-03-03,13:29:00,Laptop-Huawei-HGK614,891.37
2026-04-02,14:54:18,Monitor-Gigabyte-QAC383,144.73
2026-01-23,14:10:01,PlacaGrafica-Asus-NTP431,144.73
2026-01-16,20:10:23,MemoriaRAM-LG-UHL690,265.51
2026-05-10,03:30:44,Monitor-Samsung-LEM825,265.51
2026-03-12,16:34:30,Microfone-AMD-VWP649,1.99
2026-08-12,13:19:48,Camera-Logitech-CLC537,34.93
2026-04-20,21:46:07,Coluna-Lenovo-ZAA233,45.91
2026-12-21,03:10:10,Monitor-MSI-YEC293,23.95
2026-09-02,10:54:44,Microfone-Google-YTY580,726.67
2026-06-01,13:41:20,Motherboard-Corsair-CVZ384,309.43
2026-07-25,05:41:28,Processador-Huawei-SCJ767,122.77
2026-05-08,00:09:29,Projetor-Acer-GMU234,671.77
2026-07-28,20:33:45,Headphones-Nokia-PZG072,100.81
2026-03-24,21:39:18,Rato-Asus-MLH975,419.23
2026-05-20,06:03:15,Coluna-Asus-VSY079,990.19
2026-01-10,17:40:57,Impressora-LG-WZE947,254.53
2026-11-27,06:48:30,Teclado-AMD-SFJ915,67.87
2026-09-20,18:27:54,Processador-HP-NYJ784,463.15
2026-02-09,07:26:13,Impressora-Dell-OSK944,287.47
2026-05-16,02:32:22,Headphones-Samsung-FHM015,177.67
2026-12-04,16:01:40,MemoriaRAM-Xiaomi-CQT765,133.75
2026-09-23,20:27:51,Tablet-Dell-XKZ844,649.81
2026-08-17,21:24:38,PlacaGrafica-Huawei-CRW013,507.07
2026-03-01,20:35:05,Tablet-LG-LMP772,496.09
